Year,    Generation (billion kWh),    Consumption (billion kWh),    Imports (billion kWh),    Exports (billion kWh),    Net imports (billion kWh),    Capacity (million kW),    Distribution losses (billion kWh)
1980.0,13.301,12.36993,0.0,0.0,0.0,4.3,0.93107
1981.0,13.058,12.14394,0.0,0.0,0.0,4.1,0.91406
1982.0,11.114,10.33602,0.0,0.0,0.0,4.1,0.77798
1983.0,11.326,10.53318,0.0,0.0,0.0,4.1,0.79282
1984.0,11.783,10.95819,0.0,0.0,0.0,4.1,0.82481
1985.0,11.586,10.77498,0.0,0.0,0.0,4.2,0.81102
1986.0,12.109,11.26137,0.0,0.0,0.0,4.2,0.84763
1987.0,12.944,12.03792,0.0,0.0,0.0,4.22,0.90608
1988.0,13.552,12.60336,0.0,0.0,0.0,4.22,0.94864
1989.0,13.465,12.52245,0.0,0.0,0.0,4.23,0.94255
1990.0,14.246323,13.24908039,0.0,0.0,0.0,4.23,0.99724261
1991.0,14.860574,13.82033382,0.0,0.0,0.0,4.23,1.04024018
1992.0,15.445842,14.36463306,0.0,0.0,0.0,4.23,1.08120894
1993.0,16.17872,15.0462096,0.0,0.0,0.0,4.23,1.1325104
1994.0,16.834438,15.65602734,0.0,0.0,0.0,4.396,1.17841066
1995.0,17.407132,16.18863276,0.0,0.0,0.0,4.396,1.21849924
1996.0,17.878994,16.62746442,0.0,0.0,0.0,4.396,1.25152958
1997.0,18.743119,17.43110067,0.0,0.0,0.0,4.396,1.31201833
1998.0,19.212371,17.86750503,0.0,0.0,0.0,4.903,1.34486597
1999.0,20.103944,18.69666792,0.0,0.0,0.0,4.9178,1.40727608
2000.0,21.813,20.50419,0.0,0.0,0.0,4.9028,1.30881
2001.0,22.302,20.96388,0.0,0.0,0.0,4.9028,1.33812
2002.0,23.175,21.784464,0.0,0.0,0.0,5.358,1.390536
2003.0,23.937,22.500762,0.0,0.0,0.0,5.358,1.436238
2004.0,24.135,22.686888,0.0,0.0,0.0,5.357425,1.448112
2005.0,24.9622843,23.4645763,0.0,0.0,0.0,5.402,1.497708
2006.0,23.837,22.340216,0.0,0.0,0.0,5.493,1.496784
2007.0,22.305,20.826816,0.0,0.0,0.0,5.515,1.478184
2008.0,20.921,19.528184,0.0,0.0,0.0,5.457,1.392816
2009.0,20.7098,19.33049,0.0,0.0,0.0,5.841,1.37931
2010.0,20.8958,19.50116,0.0,0.0,0.0,6.033,1.39464
2011.0,20.0178,18.682356,0.0,0.0,0.0,6.034,1.335444
2012.0,21.203,19.864646,0.0,0.0,0.0,6.2,1.338354
2013.0,20.497,19.207408,0.0,0.0,0.0,6.23,1.289592
2014.0,20.416,19.151992,0.0,0.0,0.0,6.235,1.264008
2015.0,20.415061,19.160401,0.0,0.0,0.0,6.369,1.25466
2016.0,20.961866,19.72322,0.0,0.0,0.0,6.406,1.238646
2017.0,16.691,15.708716,0.0,0.0,0.0,6.437,0.982284
2018.0,16.988629,16.465048,0.0,0.0,0.0,5.974,0.523581
2019.0,17.267,16.133822,0.0,0.0,0.0,6.3476,1.133178
2020.0,17.149,16.02256,0.0,0.0,0.0,6.3986,1.12644
2021.0,18.247657356,17.121217356,0.0,0.0,0.0,6.5286,1.12644
